	SNP	Chromosome	Position	trait1
1	ENSG00000171867	20	4666881	7.0822614427751e-05
2	ENSG00000151012	4	139085250	9.89710226695675e-05
3	ENSG00000072274	3	195754053	0.000734596499182302
4	ENSG00000123983	2	223725651	0.0028427440298694
5	ENSG00000167996	11	61727189	0.00291663285817995
6	ENSG00000138449	2	190430238	0.00851195395844283
7	ENSG00000168003	11	62623517	0.00872069206891981
8	ENSG00000165637	10	76969911	0.0156362400796177
9	ENSG00000047457	3	148880196	0.0215058591382107
10	ENSG00000164398	5	131142682	0.022670977490308
11	ENSG00000057663	6	106632350	0.0387633341871195
12	ENSG00000197769	1	242158791	0.0432264727272057
13	ENSG00000087086	19	49468557	0.0436748148956364
14	ENSG00000104635	8	22224799	0.0575584672231986
15	ENSG00000023909	1	94350760	0.0577736604752889
16	ENSG00000115107	2	119981383	0.0579871223562041
17	ENSG00000141510	17	7565096	0.0686341529426585
18	ENSG00000167468	19	1103935	0.0837063062363876
20	ENSG00000141504	17	7529551	0.117190579978491
21	ENSG00000165168	23	37639263	0.12538572570253
22	ENSG00000197111	12	53845885	0.175350638361996
23	ENSG00000130066	23	23801289	0.191673826250741
24	ENSG00000138821	4	103228713	0.198850995614751
25	ENSG00000078668	8	42249141	0.204151676323689
26	ENSG00000101460	20	33134657	0.209265296297899
27	ENSG00000068366	23	108884565	0.231437127099289
28	ENSG00000161905	17	4534196	0.257475061649335
29	ENSG00000197142	10	114133775	0.304855517449987
30	ENSG00000100292	22	35776353	0.353729854633229
31	ENSG00000091513	3	133464799	0.412452276118424
32	ENSG00000169564	2	70314584	0.466839333566229
33	ENSG00000197548	3	11314101	0.505893205473866
34	ENSG00000110911	12	51373183	0.60180429450171
35	ENSG00000181867	5	121187649	0.642923208459826
36	ENSG00000111684	12	7085347	0.743625387977824
37	ENSG00000001084	6	53387262	0.746766758658128
38	ENSG00000100983	20	33516235	0.808726462535839
39	ENSG00000151726	4	185676748	0.916338156711986
40	ENSG00000140941	16	87417600	0.922164286615541
